25	9487	25	0	-1
25	9487	53	1	-1
25	9487	105	2	-1
25	9487	163	3	-1
25	9487	184	4	-1
25	9487	184	7	-1
25	9487	184	10	-1
25	9487	184	13	-1
25	9487	184	16	-1
25	9487	184	19	-1
25	9487	215	5	-1
25	9487	215	8	-1
25	9487	215	11	-1
25	9487	215	14	-1
25	9487	215	17	-1
25	9487	215	20	-1
25	9487	387	6	-1
25	9487	387	9	-1
25	9487	387	12	-1
25	9487	387	15	-1
25	9487	387	18	-1
25	9487	468	7	-1
25	9487	468	10	-1
25	9487	468	13	-1
25	9487	468	16	-1
25	9487	468	19	-1
25	9487	9487	8	-1
25	9487	9487	11	-1
25	9487	9487	14	-1
25	9487	9487	17	-1
25	9487	9487	20	-1
