4	91	4	0	-1	-1
4	91	22	1	4	-1
4	91	40	2	22	414
4	91	40	2	23	414
4	91	91	3	45	-1
6	93	6	0	-1	-1
6	93	24	1	6	-1
6	93	42	2	25	414
6	93	42	2	26	414
6	93	93	3	47	-1
8	95	8	0	-1	-1
8	95	26	1	8	-1
8	95	44	2	28	414
8	95	44	2	29	414
8	95	63	3	49	-1
8	95	75	4	59	416
8	95	75	4	60	416
8	95	95	5	68	-1
9	96	9	0	-1	-1
9	96	27	1	9	-1
9	96	45	2	30	416
9	96	45	2	31	416
9	96	96	3	50	-1
10	104	10	0	-1	-1
10	104	28	1	10	-1
10	104	46	2	32	416
10	104	46	2	33	416
10	104	65	3	51	-1
10	104	79	4	61	-1
10	104	104	5	72	-1
12	98	12	0	-1	-1
12	98	30	1	12	-1
12	98	48	2	35	414
12	98	48	2	36	414
12	98	98	3	53	-1
