0	87	0	0	-1	-1
0	87	18	1	0	-1
0	87	36	2	18	413
0	87	87	3	42	-1
1	88	1	0	-1	-1
1	88	19	1	1	-1
1	88	37	2	19	413
1	88	88	3	43	-1
2	89	2	0	-1	-1
2	89	20	1	2	-1
2	89	89	2	20	-1
3	90	3	0	-1	-1
3	90	21	1	3	-1
3	90	39	2	21	413
3	90	90	3	44	-1
5	92	5	0	-1	-1
5	92	23	1	5	-1
5	92	41	2	24	415
5	92	92	3	46	-1
7	94	7	0	-1	-1
7	94	25	1	7	-1
7	94	43	2	27	413
7	94	94	3	48	-1
11	97	11	0	-1	-1
11	97	29	1	11	-1
11	97	47	2	34	417
11	97	97	3	52	-1
13	99	13	0	-1	-1
13	99	31	1	13	-1
13	99	49	2	37	417
13	99	99	3	54	-1
14	100	14	0	-1	-1
14	100	32	1	14	-1
14	100	50	2	38	417
14	100	69	3	55	-1
14	100	76	4	62	414
14	100	76	4	63	414
14	100	100	5	69	-1
15	101	15	0	-1	-1
15	101	33	1	15	-1
15	101	51	2	39	417
15	101	70	3	56	-1
15	101	77	4	64	416
15	101	77	4	65	416
15	101	83	5	70	-1
15	101	85	6	73	415
15	101	101	5	71	-1
15	101	102	7	74	-1
15	102	15	0	-1	-1
15	102	33	1	15	-1
15	102	51	2	39	417
15	102	70	3	56	-1
15	102	77	4	64	416
15	102	77	4	65	416
15	102	83	5	70	-1
15	102	85	6	73	415
15	102	101	5	71	-1
15	102	102	7	74	-1
16	103	16	0	-1	-1
16	103	34	1	16	-1
16	103	52	2	40	417
16	103	71	3	57	-1
16	103	103	4	66	-1
